period,series,unit,value
2020,Per Capita Gross Domestic Product,Dollar,85230
2021,Per Capita Gross Domestic Product,Dollar,108667
2022,Per Capita Gross Domestic Product,Dollar,125773
2023,Per Capita Gross Domestic Product,Dollar,115993
2024,Per Capita Gross Domestic Product,Dollar,126803
2025,Per Capita Gross Domestic Product,Dollar,129194
1960,Per Capita Gross National Income (US Dollar),US Dollar,436
1961,Per Capita Gross National Income (US Dollar),US Dollar,458
1962,Per Capita Gross National Income (US Dollar),US Dollar,481
1963,Per Capita Gross National Income (US Dollar),US Dollar,524
1964,Per Capita Gross National Income (US Dollar),US Dollar,501
1965,Per Capita Gross National Income (US Dollar),US Dollar,533
1966,Per Capita Gross National Income (US Dollar),US Dollar,585
1967,Per Capita Gross National Income (US Dollar),US Dollar,642
1968,Per Capita Gross National Income (US Dollar),US Dollar,723
1969,Per Capita Gross National Income (US Dollar),US Dollar,826
1970,Per Capita Gross National Income (US Dollar),US Dollar,935
1971,Per Capita Gross National Income (US Dollar),US Dollar,1074
1972,Per Capita Gross National Income (US Dollar),US Dollar,1368
1973,Per Capita Gross National Income (US Dollar),US Dollar,1887
1974,Per Capita Gross National Income (US Dollar),US Dollar,2297
1975,Per Capita Gross National Income (US Dollar),US Dollar,2582
1976,Per Capita Gross National Income (US Dollar),US Dollar,2634
1977,Per Capita Gross National Income (US Dollar),US Dollar,2850
1978,Per Capita Gross National Income (US Dollar),US Dollar,3418
1979,Per Capita Gross National Income (US Dollar),US Dollar,4064
1980,Per Capita Gross National Income (US Dollar),US Dollar,4748
1981,Per Capita Gross National Income (US Dollar),US Dollar,5346
1982,Per Capita Gross National Income (US Dollar),US Dollar,5698
1983,Per Capita Gross National Income (US Dollar),US Dollar,6531
1984,Per Capita Gross National Income (US Dollar),US Dollar,7115
1985,Per Capita Gross National Income (US Dollar),US Dollar,6844
1986,Per Capita Gross National Income (US Dollar),US Dollar,6873
1987,Per Capita Gross National Income (US Dollar),US Dollar,7591
1988,Per Capita Gross National Income (US Dollar),US Dollar,9202
1989,Per Capita Gross National Income (US Dollar),US Dollar,10660
1990,Per Capita Gross National Income (US Dollar),US Dollar,12635
1991,Per Capita Gross National Income (US Dollar),US Dollar,14282
1992,Per Capita Gross National Income (US Dollar),US Dollar,16145
1993,Per Capita Gross National Income (US Dollar),US Dollar,17904
1994,Per Capita Gross National Income (US Dollar),US Dollar,21581
1995,Per Capita Gross National Income (US Dollar),US Dollar,25095
1996,Per Capita Gross National Income (US Dollar),US Dollar,26044
1997,Per Capita Gross National Income (US Dollar),US Dollar,26893
1998,Per Capita Gross National Income (US Dollar),US Dollar,22151
1999,Per Capita Gross National Income (US Dollar),US Dollar,22044
2000,Per Capita Gross National Income (US Dollar),US Dollar,23708
2001,Per Capita Gross National Income (US Dollar),US Dollar,21555
2002,Per Capita Gross National Income (US Dollar),US Dollar,21719
2003,Per Capita Gross National Income (US Dollar),US Dollar,23100
2004,Per Capita Gross National Income (US Dollar),US Dollar,25937
2005,Per Capita Gross National Income (US Dollar),US Dollar,28263
2006,Per Capita Gross National Income (US Dollar),US Dollar,32854
2007,Per Capita Gross National Income (US Dollar),US Dollar,38396
2008,Per Capita Gross National Income (US Dollar),US Dollar,38538
2009,Per Capita Gross National Income (US Dollar),US Dollar,36908
2010,Per Capita Gross National Income (US Dollar),US Dollar,46727
2011,Per Capita Gross National Income (US Dollar),US Dollar,52034
2012,Per Capita Gross National Income (US Dollar),US Dollar,53077
2013,Per Capita Gross National Income (US Dollar),US Dollar,53899
2014,Per Capita Gross National Income (US Dollar),US Dollar,55560
2015,Per Capita Gross National Income (US Dollar),US Dollar,51850
2016,Per Capita Gross National Income (US Dollar),US Dollar,53825
2017,Per Capita Gross National Income (US Dollar),US Dollar,57464
2018,Per Capita Gross National Income (US Dollar),US Dollar,58624
2019,Per Capita Gross National Income (US Dollar),US Dollar,58110
2020,Per Capita Gross National Income (US Dollar),US Dollar,54136
2021,Per Capita Gross National Income (US Dollar),US Dollar,68641
2022,Per Capita Gross National Income (US Dollar),US Dollar,73546
2023,Per Capita Gross National Income (US Dollar),US Dollar,69597
2024,Per Capita Gross National Income (US Dollar),US Dollar,78469
2025,Per Capita Gross National Income (US Dollar),US Dollar,82171
1960,Per Capita Gross Domestic Product (US Dollar),US Dollar,428
1961,Per Capita Gross Domestic Product (US Dollar),US Dollar,449
1962,Per Capita Gross Domestic Product (US Dollar),US Dollar,472
1963,Per Capita Gross Domestic Product (US Dollar),US Dollar,511
1964,Per Capita Gross Domestic Product (US Dollar),US Dollar,485
1965,Per Capita Gross Domestic Product (US Dollar),US Dollar,516
1966,Per Capita Gross Domestic Product (US Dollar),US Dollar,567
1967,Per Capita Gross Domestic Product (US Dollar),US Dollar,626
1968,Per Capita Gross Domestic Product (US Dollar),US Dollar,709
1969,Per Capita Gross Domestic Product (US Dollar),US Dollar,813
1970,Per Capita Gross Domestic Product (US Dollar),US Dollar,926
1971,Per Capita Gross Domestic Product (US Dollar),US Dollar,1075
1972,Per Capita Gross Domestic Product (US Dollar),US Dollar,1371
1973,Per Capita Gross Domestic Product (US Dollar),US Dollar,1929
1974,Per Capita Gross Domestic Product (US Dollar),US Dollar,2362
1975,Per Capita Gross Domestic Product (US Dollar),US Dollar,2559
1976,Per Capita Gross Domestic Product (US Dollar),US Dollar,2648
1977,Per Capita Gross Domestic Product (US Dollar),US Dollar,2883
1978,Per Capita Gross Domestic Product (US Dollar),US Dollar,3426
1979,Per Capita Gross Domestic Product (US Dollar),US Dollar,4079
1980,Per Capita Gross Domestic Product (US Dollar),US Dollar,5005
1981,Per Capita Gross Domestic Product (US Dollar),US Dollar,5672
1982,Per Capita Gross Domestic Product (US Dollar),US Dollar,6000
1983,Per Capita Gross Domestic Product (US Dollar),US Dollar,6718
1984,Per Capita Gross Domestic Product (US Dollar),US Dollar,7160
1985,Per Capita Gross Domestic Product (US Dollar),US Dollar,6788
1986,Per Capita Gross Domestic Product (US Dollar),US Dollar,6871
1987,Per Capita Gross Domestic Product (US Dollar),US Dollar,7794
1988,Per Capita Gross Domestic Product (US Dollar),US Dollar,9329
1989,Per Capita Gross Domestic Product (US Dollar),US Dollar,10726
1990,Per Capita Gross Domestic Product (US Dollar),US Dollar,12764
1991,Per Capita Gross Domestic Product (US Dollar),US Dollar,14502
1992,Per Capita Gross Domestic Product (US Dollar),US Dollar,16136
1993,Per Capita Gross Domestic Product (US Dollar),US Dollar,18290
1994,Per Capita Gross Domestic Product (US Dollar),US Dollar,21554
1995,Per Capita Gross Domestic Product (US Dollar),US Dollar,24915
1996,Per Capita Gross Domestic Product (US Dollar),US Dollar,26231
1997,Per Capita Gross Domestic Product (US Dollar),US Dollar,26376
1998,Per Capita Gross Domestic Product (US Dollar),US Dollar,21830
1999,Per Capita Gross Domestic Product (US Dollar),US Dollar,21798
2000,Per Capita Gross Domestic Product (US Dollar),US Dollar,23853
2001,Per Capita Gross Domestic Product (US Dollar),US Dollar,21700
2002,Per Capita Gross Domestic Product (US Dollar),US Dollar,22160
2003,Per Capita Gross Domestic Product (US Dollar),US Dollar,23730
2004,Per Capita Gross Domestic Product (US Dollar),US Dollar,27607
2005,Per Capita Gross Domestic Product (US Dollar),US Dollar,29957
2006,Per Capita Gross Domestic Product (US Dollar),US Dollar,33769
2007,Per Capita Gross Domestic Product (US Dollar),US Dollar,39433
2008,Per Capita Gross Domestic Product (US Dollar),US Dollar,40011
2009,Per Capita Gross Domestic Product (US Dollar),US Dollar,38927
2010,Per Capita Gross Domestic Product (US Dollar),US Dollar,47237
2011,Per Capita Gross Domestic Product (US Dollar),US Dollar,53886
2012,Per Capita Gross Domestic Product (US Dollar),US Dollar,55547
2013,Per Capita Gross Domestic Product (US Dollar),US Dollar,56967
2014,Per Capita Gross Domestic Product (US Dollar),US Dollar,57563
2015,Per Capita Gross Domestic Product (US Dollar),US Dollar,55647
2016,Per Capita Gross Domestic Product (US Dollar),US Dollar,57206
2017,Per Capita Gross Domestic Product (US Dollar),US Dollar,61446
2018,Per Capita Gross Domestic Product (US Dollar),US Dollar,67019
2019,Per Capita Gross Domestic Product (US Dollar),US Dollar,66067
2020,Per Capita Gross Domestic Product (US Dollar),US Dollar,61797
2021,Per Capita Gross Domestic Product (US Dollar),US Dollar,80853
2022,Per Capita Gross Domestic Product (US Dollar),US Dollar,91213
2023,Per Capita Gross Domestic Product (US Dollar),US Dollar,86362
2024,Per Capita Gross Domestic Product (US Dollar),US Dollar,94912
2025,Per Capita Gross Domestic Product (US Dollar),US Dollar,98878
