period,series,unit,value
2022,Secondary,Per Cent,0.8
2023,Secondary,Per Cent,0.8
2024,Secondary,Per Cent,0.6
1992,Post-Secondary (Non-Tertiary),Per Cent,0.3
1993,Post-Secondary (Non-Tertiary),Per Cent,0.1
1994,Post-Secondary (Non-Tertiary),Per Cent,0.3
1995,Post-Secondary (Non-Tertiary),Per Cent,0.2
1996,Post-Secondary (Non-Tertiary),Per Cent,0.3
1997,Post-Secondary (Non-Tertiary),Per Cent,0.3
1998,Post-Secondary (Non-Tertiary),Per Cent,0.3
1999,Post-Secondary (Non-Tertiary),Per Cent,0.8
2000,Post-Secondary (Non-Tertiary),Per Cent,na
2001,Post-Secondary (Non-Tertiary),Per Cent,0.8
2002,Post-Secondary (Non-Tertiary),Per Cent,1
2003,Post-Secondary (Non-Tertiary),Per Cent,1.1
2004,Post-Secondary (Non-Tertiary),Per Cent,0.9
2005,Post-Secondary (Non-Tertiary),Per Cent,1
2006,Post-Secondary (Non-Tertiary),Per Cent,0.6
2007,Post-Secondary (Non-Tertiary),Per Cent,0.4
2008,Post-Secondary (Non-Tertiary),Per Cent,0.5
2009,Post-Secondary (Non-Tertiary),Per Cent,1
2010,Post-Secondary (Non-Tertiary),Per Cent,0.7
2011,Post-Secondary (Non-Tertiary),Per Cent,0.5
2012,Post-Secondary (Non-Tertiary),Per Cent,0.7
2013,Post-Secondary (Non-Tertiary),Per Cent,0.7
2014,Post-Secondary (Non-Tertiary),Per Cent,0.6
2015,Post-Secondary (Non-Tertiary),Per Cent,0.6
2016,Post-Secondary (Non-Tertiary),Per Cent,0.6
2017,Post-Secondary (Non-Tertiary),Per Cent,0.8
2018,Post-Secondary (Non-Tertiary),Per Cent,0.7
2019,Post-Secondary (Non-Tertiary),Per Cent,0.8
2020,Post-Secondary (Non-Tertiary),Per Cent,0.9
2021,Post-Secondary (Non-Tertiary),Per Cent,1.3
2022,Post-Secondary (Non-Tertiary),Per Cent,0.7
2023,Post-Secondary (Non-Tertiary),Per Cent,0.7
2024,Post-Secondary (Non-Tertiary),Per Cent,0.9
1992,Diploma & Professional Qualification,Per Cent,0.2
1993,Diploma & Professional Qualification,Per Cent,0.1
1994,Diploma & Professional Qualification,Per Cent,0.1
1995,Diploma & Professional Qualification,Per Cent,0.2
1996,Diploma & Professional Qualification,Per Cent,0.2
1997,Diploma & Professional Qualification,Per Cent,0.2
1998,Diploma & Professional Qualification,Per Cent,0.5
1999,Diploma & Professional Qualification,Per Cent,0.5
2000,Diploma & Professional Qualification,Per Cent,na
2001,Diploma & Professional Qualification,Per Cent,0.7
2002,Diploma & Professional Qualification,Per Cent,0.9
2003,Diploma & Professional Qualification,Per Cent,1.2
2004,Diploma & Professional Qualification,Per Cent,0.9
2005,Diploma & Professional Qualification,Per Cent,0.6
2006,Diploma & Professional Qualification,Per Cent,0.6
2007,Diploma & Professional Qualification,Per Cent,0.4
2008,Diploma & Professional Qualification,Per Cent,0.4
2009,Diploma & Professional Qualification,Per Cent,0.7
2010,Diploma & Professional Qualification,Per Cent,0.6
2011,Diploma & Professional Qualification,Per Cent,0.6
2012,Diploma & Professional Qualification,Per Cent,0.6
2013,Diploma & Professional Qualification,Per Cent,0.6
2014,Diploma & Professional Qualification,Per Cent,0.5
2015,Diploma & Professional Qualification,Per Cent,0.5
2016,Diploma & Professional Qualification,Per Cent,0.7
2017,Diploma & Professional Qualification,Per Cent,0.8
2018,Diploma & Professional Qualification,Per Cent,0.7
2019,Diploma & Professional Qualification,Per Cent,0.7
2020,Diploma & Professional Qualification,Per Cent,1
2021,Diploma & Professional Qualification,Per Cent,1.1
2022,Diploma & Professional Qualification,Per Cent,0.7
2023,Diploma & Professional Qualification,Per Cent,0.6
2024,Diploma & Professional Qualification,Per Cent,1
1992,Degree,Per Cent,0.1
1993,Degree,Per Cent,0.3
1994,Degree,Per Cent,0.3
1995,Degree,Per Cent,0.2
1996,Degree,Per Cent,0.3
1997,Degree,Per Cent,0.3
1998,Degree,Per Cent,0.4
1999,Degree,Per Cent,0.7
2000,Degree,Per Cent,na
2001,Degree,Per Cent,0.5
2002,Degree,Per Cent,1.2
2003,Degree,Per Cent,1.1
2004,Degree,Per Cent,1
2005,Degree,Per Cent,0.7
2006,Degree,Per Cent,0.5
2007,Degree,Per Cent,0.4
2008,Degree,Per Cent,0.5
2009,Degree,Per Cent,0.8
2010,Degree,Per Cent,0.6
2011,Degree,Per Cent,0.5
2012,Degree,Per Cent,0.6
2013,Degree,Per Cent,0.8
2014,Degree,Per Cent,0.6
2015,Degree,Per Cent,0.8
2016,Degree,Per Cent,1
2017,Degree,Per Cent,0.9
2018,Degree,Per Cent,0.8
2019,Degree,Per Cent,0.7
2020,Degree,Per Cent,1
2021,Degree,Per Cent,0.9
2022,Degree,Per Cent,0.6
2023,Degree,Per Cent,0.6
2024,Degree,Per Cent,0.8
