period,series,unit,value,month
2023 Jul,"Macaroni, Noodles & Similar Pasta Products",Index,99.861,2023-07-01
2023 Aug,"Macaroni, Noodles & Similar Pasta Products",Index,97.672,2023-08-01
2023 Sep,"Macaroni, Noodles & Similar Pasta Products",Index,98.366,2023-09-01
2023 Oct,"Macaroni, Noodles & Similar Pasta Products",Index,99.763,2023-10-01
2023 Nov,"Macaroni, Noodles & Similar Pasta Products",Index,99.511,2023-11-01
2023 Dec,"Macaroni, Noodles & Similar Pasta Products",Index,99.882,2023-12-01
2024 Jan,"Macaroni, Noodles & Similar Pasta Products",Index,99.405,2024-01-01
2024 Feb,"Macaroni, Noodles & Similar Pasta Products",Index,98.639,2024-02-01
2024 Mar,"Macaroni, Noodles & Similar Pasta Products",Index,100.658,2024-03-01
2024 Apr,"Macaroni, Noodles & Similar Pasta Products",Index,100.79,2024-04-01
2024 May,"Macaroni, Noodles & Similar Pasta Products",Index,100.79,2024-05-01
2024 Jun,"Macaroni, Noodles & Similar Pasta Products",Index,101.117,2024-06-01
2024 Jul,"Macaroni, Noodles & Similar Pasta Products",Index,97.888,2024-07-01
2024 Aug,"Macaroni, Noodles & Similar Pasta Products",Index,97.417,2024-08-01
2024 Sep,"Macaroni, Noodles & Similar Pasta Products",Index,99.548,2024-09-01
2024 Oct,"Macaroni, Noodles & Similar Pasta Products",Index,100.421,2024-10-01
2024 Nov,"Macaroni, Noodles & Similar Pasta Products",Index,101.889,2024-11-01
2024 Dec,"Macaroni, Noodles & Similar Pasta Products",Index,101.442,2024-12-01
2025 Jan,"Macaroni, Noodles & Similar Pasta Products",Index,100.381,2025-01-01
2025 Feb,"Macaroni, Noodles & Similar Pasta Products",Index,100.95,2025-02-01
2025 Mar,"Macaroni, Noodles & Similar Pasta Products",Index,101.143,2025-03-01
2025 Apr,"Macaroni, Noodles & Similar Pasta Products",Index,101.002,2025-04-01
2025 May,"Macaroni, Noodles & Similar Pasta Products",Index,100.558,2025-05-01
2025 Jun,"Macaroni, Noodles & Similar Pasta Products",Index,100.685,2025-06-01
2025 Jul,"Macaroni, Noodles & Similar Pasta Products",Index,99.955,2025-07-01
2025 Aug,"Macaroni, Noodles & Similar Pasta Products",Index,97.486,2025-08-01
2025 Sep,"Macaroni, Noodles & Similar Pasta Products",Index,97.223,2025-09-01
2025 Oct,"Macaroni, Noodles & Similar Pasta Products",Index,98.865,2025-10-01
2025 Nov,"Macaroni, Noodles & Similar Pasta Products",Index,100.526,2025-11-01
2025 Dec,"Macaroni, Noodles & Similar Pasta Products",Index,99.94,2025-12-01
2026 Jan,"Macaroni, Noodles & Similar Pasta Products",Index,99.11,2026-01-01
2026 Feb,"Macaroni, Noodles & Similar Pasta Products",Index,97.22,2026-02-01
2026 Mar,"Macaroni, Noodles & Similar Pasta Products",Index,99.5,2026-03-01
2026 Apr,"Macaroni, Noodles & Similar Pasta Products",Index,99.546,2026-04-01
2015 Jan,Biscuits & Cookies,Index,77.493,2015-01-01
2015 Feb,Biscuits & Cookies,Index,76.1,2015-02-01
2015 Mar,Biscuits & Cookies,Index,78.228,2015-03-01
2015 Apr,Biscuits & Cookies,Index,77.956,2015-04-01
2015 May,Biscuits & Cookies,Index,76.445,2015-05-01
2015 Jun,Biscuits & Cookies,Index,77.793,2015-06-01
2015 Jul,Biscuits & Cookies,Index,76.355,2015-07-01
2015 Aug,Biscuits & Cookies,Index,77.539,2015-08-01
2015 Sep,Biscuits & Cookies,Index,76.508,2015-09-01
2015 Oct,Biscuits & Cookies,Index,76.645,2015-10-01
2015 Nov,Biscuits & Cookies,Index,76.835,2015-11-01
2015 Dec,Biscuits & Cookies,Index,76.352,2015-12-01
2016 Jan,Biscuits & Cookies,Index,78.264,2016-01-01
2016 Feb,Biscuits & Cookies,Index,78.337,2016-02-01
2016 Mar,Biscuits & Cookies,Index,78.969,2016-03-01
2016 Apr,Biscuits & Cookies,Index,79.525,2016-04-01
2016 May,Biscuits & Cookies,Index,79.677,2016-05-01
2016 Jun,Biscuits & Cookies,Index,77.907,2016-06-01
2016 Jul,Biscuits & Cookies,Index,77.958,2016-07-01
2016 Aug,Biscuits & Cookies,Index,77.338,2016-08-01
2016 Sep,Biscuits & Cookies,Index,79.518,2016-09-01
2016 Oct,Biscuits & Cookies,Index,78.168,2016-10-01
2016 Nov,Biscuits & Cookies,Index,78.931,2016-11-01
2016 Dec,Biscuits & Cookies,Index,78.698,2016-12-01
2017 Jan,Biscuits & Cookies,Index,78.785,2017-01-01
2017 Feb,Biscuits & Cookies,Index,78.897,2017-02-01
2017 Mar,Biscuits & Cookies,Index,78.834,2017-03-01
2017 Apr,Biscuits & Cookies,Index,77.903,2017-04-01
2017 May,Biscuits & Cookies,Index,82.7,2017-05-01
2017 Jun,Biscuits & Cookies,Index,79.642,2017-06-01
2017 Jul,Biscuits & Cookies,Index,80.435,2017-07-01
2017 Aug,Biscuits & Cookies,Index,77.366,2017-08-01
2017 Sep,Biscuits & Cookies,Index,77.888,2017-09-01
2017 Oct,Biscuits & Cookies,Index,80.025,2017-10-01
2017 Nov,Biscuits & Cookies,Index,81.43,2017-11-01
2017 Dec,Biscuits & Cookies,Index,79.465,2017-12-01
2018 Jan,Biscuits & Cookies,Index,80.135,2018-01-01
2018 Feb,Biscuits & Cookies,Index,80.988,2018-02-01
2018 Mar,Biscuits & Cookies,Index,80.693,2018-03-01
2018 Apr,Biscuits & Cookies,Index,80.434,2018-04-01
2018 May,Biscuits & Cookies,Index,80.685,2018-05-01
2018 Jun,Biscuits & Cookies,Index,81.969,2018-06-01
2018 Jul,Biscuits & Cookies,Index,79.533,2018-07-01
2018 Aug,Biscuits & Cookies,Index,79.021,2018-08-01
2018 Sep,Biscuits & Cookies,Index,80.958,2018-09-01
2018 Oct,Biscuits & Cookies,Index,80.788,2018-10-01
2018 Nov,Biscuits & Cookies,Index,81.976,2018-11-01
2018 Dec,Biscuits & Cookies,Index,81.888,2018-12-01
2019 Jan,Biscuits & Cookies,Index,81.761,2019-01-01
2019 Feb,Biscuits & Cookies,Index,82.608,2019-02-01
2019 Mar,Biscuits & Cookies,Index,79.742,2019-03-01
2019 Apr,Biscuits & Cookies,Index,81.914,2019-04-01
2019 May,Biscuits & Cookies,Index,82.075,2019-05-01
2019 Jun,Biscuits & Cookies,Index,81.99,2019-06-01
2019 Jul,Biscuits & Cookies,Index,79.994,2019-07-01
2019 Aug,Biscuits & Cookies,Index,80.853,2019-08-01
2019 Sep,Biscuits & Cookies,Index,81.928,2019-09-01
2019 Oct,Biscuits & Cookies,Index,81.563,2019-10-01
2019 Nov,Biscuits & Cookies,Index,83.478,2019-11-01
2019 Dec,Biscuits & Cookies,Index,83.685,2019-12-01
2020 Jan,Biscuits & Cookies,Index,83.541,2020-01-01
2020 Feb,Biscuits & Cookies,Index,84.062,2020-02-01
2020 Mar,Biscuits & Cookies,Index,84.951,2020-03-01
2020 Apr,Biscuits & Cookies,Index,85.293,2020-04-01
2020 May,Biscuits & Cookies,Index,86.493,2020-05-01
2020 Jun,Biscuits & Cookies,Index,86.497,2020-06-01
2020 Jul,Biscuits & Cookies,Index,86.309,2020-07-01
2020 Aug,Biscuits & Cookies,Index,85.501,2020-08-01
2020 Sep,Biscuits & Cookies,Index,84.677,2020-09-01
2020 Oct,Biscuits & Cookies,Index,85.595,2020-10-01
2020 Nov,Biscuits & Cookies,Index,84.969,2020-11-01
2020 Dec,Biscuits & Cookies,Index,85.322,2020-12-01
2021 Jan,Biscuits & Cookies,Index,85.919,2021-01-01
2021 Feb,Biscuits & Cookies,Index,85.537,2021-02-01
2021 Mar,Biscuits & Cookies,Index,85.523,2021-03-01
2021 Apr,Biscuits & Cookies,Index,84.631,2021-04-01
2021 May,Biscuits & Cookies,Index,85.742,2021-05-01
2021 Jun,Biscuits & Cookies,Index,85.91,2021-06-01
2021 Jul,Biscuits & Cookies,Index,84.73,2021-07-01
2021 Aug,Biscuits & Cookies,Index,84.606,2021-08-01
2021 Sep,Biscuits & Cookies,Index,85.396,2021-09-01
2021 Oct,Biscuits & Cookies,Index,86.95,2021-10-01
2021 Nov,Biscuits & Cookies,Index,86.388,2021-11-01
2021 Dec,Biscuits & Cookies,Index,86.071,2021-12-01
2022 Jan,Biscuits & Cookies,Index,86.216,2022-01-01
2022 Feb,Biscuits & Cookies,Index,86.813,2022-02-01
2022 Mar,Biscuits & Cookies,Index,88.244,2022-03-01
2022 Apr,Biscuits & Cookies,Index,90.607,2022-04-01
2022 May,Biscuits & Cookies,Index,91.39,2022-05-01
2022 Jun,Biscuits & Cookies,Index,92.412,2022-06-01
2022 Jul,Biscuits & Cookies,Index,92.702,2022-07-01
2022 Aug,Biscuits & Cookies,Index,93.134,2022-08-01
2022 Sep,Biscuits & Cookies,Index,94.015,2022-09-01
2022 Oct,Biscuits & Cookies,Index,94.59,2022-10-01
2022 Nov,Biscuits & Cookies,Index,95.404,2022-11-01
2022 Dec,Biscuits & Cookies,Index,97.998,2022-12-01
2023 Jan,Biscuits & Cookies,Index,97.158,2023-01-01
2023 Feb,Biscuits & Cookies,Index,97.174,2023-02-01
2023 Mar,Biscuits & Cookies,Index,97.075,2023-03-01
2023 Apr,Biscuits & Cookies,Index,97.267,2023-04-01
2023 May,Biscuits & Cookies,Index,97.879,2023-05-01
2023 Jun,Biscuits & Cookies,Index,98.623,2023-06-01
2023 Jul,Biscuits & Cookies,Index,98.004,2023-07-01
2023 Aug,Biscuits & Cookies,Index,98.694,2023-08-01
2023 Sep,Biscuits & Cookies,Index,99.015,2023-09-01
2023 Oct,Biscuits & Cookies,Index,99.437,2023-10-01
2023 Nov,Biscuits & Cookies,Index,98.434,2023-11-01
2023 Dec,Biscuits & Cookies,Index,99.388,2023-12-01
2024 Jan,Biscuits & Cookies,Index,99.161,2024-01-01
2024 Feb,Biscuits & Cookies,Index,98.947,2024-02-01
2024 Mar,Biscuits & Cookies,Index,100.861,2024-03-01
2024 Apr,Biscuits & Cookies,Index,100.353,2024-04-01
2024 May,Biscuits & Cookies,Index,99.442,2024-05-01
2024 Jun,Biscuits & Cookies,Index,97.978,2024-06-01
2024 Jul,Biscuits & Cookies,Index,98.753,2024-07-01
2024 Aug,Biscuits & Cookies,Index,97.201,2024-08-01
2024 Sep,Biscuits & Cookies,Index,101.473,2024-09-01
2024 Oct,Biscuits & Cookies,Index,101.832,2024-10-01
2024 Nov,Biscuits & Cookies,Index,102.743,2024-11-01
2024 Dec,Biscuits & Cookies,Index,101.256,2024-12-01
2025 Jan,Biscuits & Cookies,Index,104.133,2025-01-01
2025 Feb,Biscuits & Cookies,Index,103.146,2025-02-01
2025 Mar,Biscuits & Cookies,Index,102.994,2025-03-01
2025 Apr,Biscuits & Cookies,Index,103.496,2025-04-01
2025 May,Biscuits & Cookies,Index,102.678,2025-05-01
2025 Jun,Biscuits & Cookies,Index,100.401,2025-06-01
2025 Jul,Biscuits & Cookies,Index,102.636,2025-07-01
2025 Aug,Biscuits & Cookies,Index,100.157,2025-08-01
2025 Sep,Biscuits & Cookies,Index,102.92,2025-09-01
2025 Oct,Biscuits & Cookies,Index,104.968,2025-10-01
2025 Nov,Biscuits & Cookies,Index,105.22,2025-11-01
2025 Dec,Biscuits & Cookies,Index,102.144,2025-12-01
2026 Jan,Biscuits & Cookies,Index,104.978,2026-01-01
2026 Feb,Biscuits & Cookies,Index,104.059,2026-02-01
2026 Mar,Biscuits & Cookies,Index,105.265,2026-03-01
2026 Apr,Biscuits & Cookies,Index,105.544,2026-04-01
2015 Jan,Cakes & Pastries,Index,76.829,2015-01-01
2015 Feb,Cakes & Pastries,Index,77.053,2015-02-01
2015 Mar,Cakes & Pastries,Index,76.996,2015-03-01
2015 Apr,Cakes & Pastries,Index,77.105,2015-04-01
2015 May,Cakes & Pastries,Index,77.532,2015-05-01
2015 Jun,Cakes & Pastries,Index,77.895,2015-06-01
2015 Jul,Cakes & Pastries,Index,77.858,2015-07-01
2015 Aug,Cakes & Pastries,Index,77.769,2015-08-01
2015 Sep,Cakes & Pastries,Index,78.002,2015-09-01
2015 Oct,Cakes & Pastries,Index,77.837,2015-10-01
2015 Nov,Cakes & Pastries,Index,77.794,2015-11-01
2015 Dec,Cakes & Pastries,Index,77.509,2015-12-01
2016 Jan,Cakes & Pastries,Index,77.942,2016-01-01
2016 Feb,Cakes & Pastries,Index,78.014,2016-02-01
2016 Mar,Cakes & Pastries,Index,78.058,2016-03-01
2016 Apr,Cakes & Pastries,Index,78.21,2016-04-01
2016 May,Cakes & Pastries,Index,78.058,2016-05-01
2016 Jun,Cakes & Pastries,Index,77.689,2016-06-01
2016 Jul,Cakes & Pastries,Index,77.999,2016-07-01
2016 Aug,Cakes & Pastries,Index,78.086,2016-08-01
2016 Sep,Cakes & Pastries,Index,78.342,2016-09-01
2016 Oct,Cakes & Pastries,Index,78.552,2016-10-01
2016 Nov,Cakes & Pastries,Index,78.498,2016-11-01
2016 Dec,Cakes & Pastries,Index,78.2,2016-12-01
2017 Jan,Cakes & Pastries,Index,78.841,2017-01-01
2017 Feb,Cakes & Pastries,Index,78.896,2017-02-01
2017 Mar,Cakes & Pastries,Index,78.835,2017-03-01
2017 Apr,Cakes & Pastries,Index,79.157,2017-04-01
2017 May,Cakes & Pastries,Index,79.457,2017-05-01
2017 Jun,Cakes & Pastries,Index,79.145,2017-06-01
2017 Jul,Cakes & Pastries,Index,79.296,2017-07-01
2017 Aug,Cakes & Pastries,Index,79.36,2017-08-01
2017 Sep,Cakes & Pastries,Index,79.18,2017-09-01
2017 Oct,Cakes & Pastries,Index,80.093,2017-10-01
2017 Nov,Cakes & Pastries,Index,80.283,2017-11-01
2017 Dec,Cakes & Pastries,Index,79.79,2017-12-01
2018 Jan,Cakes & Pastries,Index,79.957,2018-01-01
2018 Feb,Cakes & Pastries,Index,80.366,2018-02-01
2018 Mar,Cakes & Pastries,Index,80.144,2018-03-01
2018 Apr,Cakes & Pastries,Index,80.321,2018-04-01
2018 May,Cakes & Pastries,Index,80.982,2018-05-01
2018 Jun,Cakes & Pastries,Index,81.19,2018-06-01
2018 Jul,Cakes & Pastries,Index,81.306,2018-07-01
2018 Aug,Cakes & Pastries,Index,81.462,2018-08-01
2018 Sep,Cakes & Pastries,Index,81.941,2018-09-01
2018 Oct,Cakes & Pastries,Index,81.977,2018-10-01
2018 Nov,Cakes & Pastries,Index,81.309,2018-11-01
2018 Dec,Cakes & Pastries,Index,81.257,2018-12-01
2019 Jan,Cakes & Pastries,Index,81.803,2019-01-01
2019 Feb,Cakes & Pastries,Index,82.0,2019-02-01
2019 Mar,Cakes & Pastries,Index,81.775,2019-03-01
2019 Apr,Cakes & Pastries,Index,82.194,2019-04-01
2019 May,Cakes & Pastries,Index,81.759,2019-05-01
2019 Jun,Cakes & Pastries,Index,81.875,2019-06-01
2019 Jul,Cakes & Pastries,Index,82.548,2019-07-01
2019 Aug,Cakes & Pastries,Index,82.496,2019-08-01
2019 Sep,Cakes & Pastries,Index,83.133,2019-09-01
2019 Oct,Cakes & Pastries,Index,82.569,2019-10-01
2019 Nov,Cakes & Pastries,Index,82.798,2019-11-01
2019 Dec,Cakes & Pastries,Index,82.62,2019-12-01
2020 Jan,Cakes & Pastries,Index,83.099,2020-01-01
2020 Feb,Cakes & Pastries,Index,83.486,2020-02-01
2020 Mar,Cakes & Pastries,Index,83.646,2020-03-01
2020 Apr,Cakes & Pastries,Index,83.908,2020-04-01
2020 May,Cakes & Pastries,Index,84.069,2020-05-01
2020 Jun,Cakes & Pastries,Index,84.681,2020-06-01
2020 Jul,Cakes & Pastries,Index,84.922,2020-07-01
2020 Aug,Cakes & Pastries,Index,84.74,2020-08-01
2020 Sep,Cakes & Pastries,Index,84.616,2020-09-01
2020 Oct,Cakes & Pastries,Index,84.929,2020-10-01
2020 Nov,Cakes & Pastries,Index,84.829,2020-11-01
2020 Dec,Cakes & Pastries,Index,84.72,2020-12-01
2021 Jan,Cakes & Pastries,Index,85.036,2021-01-01
2021 Feb,Cakes & Pastries,Index,85.159,2021-02-01
2021 Mar,Cakes & Pastries,Index,85.297,2021-03-01
2021 Apr,Cakes & Pastries,Index,85.084,2021-04-01
2021 May,Cakes & Pastries,Index,85.194,2021-05-01
2021 Jun,Cakes & Pastries,Index,85.432,2021-06-01
2021 Jul,Cakes & Pastries,Index,85.839,2021-07-01
2021 Aug,Cakes & Pastries,Index,85.85,2021-08-01
2021 Sep,Cakes & Pastries,Index,85.669,2021-09-01
2021 Oct,Cakes & Pastries,Index,86.066,2021-10-01
2021 Nov,Cakes & Pastries,Index,85.971,2021-11-01
2021 Dec,Cakes & Pastries,Index,86.155,2021-12-01
2022 Jan,Cakes & Pastries,Index,86.943,2022-01-01
2022 Feb,Cakes & Pastries,Index,86.922,2022-02-01
2022 Mar,Cakes & Pastries,Index,87.089,2022-03-01
2022 Apr,Cakes & Pastries,Index,88.662,2022-04-01
2022 May,Cakes & Pastries,Index,88.257,2022-05-01
2022 Jun,Cakes & Pastries,Index,88.504,2022-06-01
2022 Jul,Cakes & Pastries,Index,89.611,2022-07-01
2022 Aug,Cakes & Pastries,Index,89.659,2022-08-01
2022 Sep,Cakes & Pastries,Index,89.861,2022-09-01
2022 Oct,Cakes & Pastries,Index,91.599,2022-10-01
2022 Nov,Cakes & Pastries,Index,91.831,2022-11-01
2022 Dec,Cakes & Pastries,Index,91.764,2022-12-01
2023 Jan,Cakes & Pastries,Index,94.482,2023-01-01
2023 Feb,Cakes & Pastries,Index,94.68,2023-02-01
2023 Mar,Cakes & Pastries,Index,94.806,2023-03-01
2023 Apr,Cakes & Pastries,Index,94.746,2023-04-01
2023 May,Cakes & Pastries,Index,94.725,2023-05-01
2023 Jun,Cakes & Pastries,Index,94.773,2023-06-01
2023 Jul,Cakes & Pastries,Index,94.959,2023-07-01
2023 Aug,Cakes & Pastries,Index,95.787,2023-08-01
2023 Sep,Cakes & Pastries,Index,95.845,2023-09-01
2023 Oct,Cakes & Pastries,Index,96.72,2023-10-01
2023 Nov,Cakes & Pastries,Index,96.69,2023-11-01
2023 Dec,Cakes & Pastries,Index,96.528,2023-12-01
2024 Jan,Cakes & Pastries,Index,98.449,2024-01-01
2024 Feb,Cakes & Pastries,Index,98.544,2024-02-01
2024 Mar,Cakes & Pastries,Index,98.976,2024-03-01
2024 Apr,Cakes & Pastries,Index,98.982,2024-04-01
2024 May,Cakes & Pastries,Index,99.402,2024-05-01
2024 Jun,Cakes & Pastries,Index,99.405,2024-06-01
2024 Jul,Cakes & Pastries,Index,101.226,2024-07-01
2024 Aug,Cakes & Pastries,Index,101.182,2024-08-01
2024 Sep,Cakes & Pastries,Index,100.911,2024-09-01
2024 Oct,Cakes & Pastries,Index,101.03,2024-10-01
2024 Nov,Cakes & Pastries,Index,100.955,2024-11-01
2024 Dec,Cakes & Pastries,Index,100.94,2024-12-01
2025 Jan,Cakes & Pastries,Index,101.163,2025-01-01
2025 Feb,Cakes & Pastries,Index,100.9,2025-02-01
2025 Mar,Cakes & Pastries,Index,101.256,2025-03-01
2025 Apr,Cakes & Pastries,Index,101.62,2025-04-01
2025 May,Cakes & Pastries,Index,101.732,2025-05-01
2025 Jun,Cakes & Pastries,Index,101.667,2025-06-01
2025 Jul,Cakes & Pastries,Index,102.004,2025-07-01
2025 Aug,Cakes & Pastries,Index,102.096,2025-08-01
2025 Sep,Cakes & Pastries,Index,102.125,2025-09-01
2025 Oct,Cakes & Pastries,Index,102.294,2025-10-01
2025 Nov,Cakes & Pastries,Index,102.466,2025-11-01
2025 Dec,Cakes & Pastries,Index,102.289,2025-12-01
2026 Jan,Cakes & Pastries,Index,103.333,2026-01-01
2026 Feb,Cakes & Pastries,Index,103.465,2026-02-01
2026 Mar,Cakes & Pastries,Index,103.983,2026-03-01
2026 Apr,Cakes & Pastries,Index,105.311,2026-04-01
2015 Jan,Breakfast Cereals,Index,83.861,2015-01-01
2015 Feb,Breakfast Cereals,Index,81.728,2015-02-01
2015 Mar,Breakfast Cereals,Index,83.331,2015-03-01
2015 Apr,Breakfast Cereals,Index,82.619,2015-04-01
2015 May,Breakfast Cereals,Index,80.687,2015-05-01
2015 Jun,Breakfast Cereals,Index,79.028,2015-06-01
2015 Jul,Breakfast Cereals,Index,77.284,2015-07-01
2015 Aug,Breakfast Cereals,Index,81.464,2015-08-01
2015 Sep,Breakfast Cereals,Index,81.645,2015-09-01
2015 Oct,Breakfast Cereals,Index,82.842,2015-10-01
2015 Nov,Breakfast Cereals,Index,80.615,2015-11-01
2015 Dec,Breakfast Cereals,Index,83.187,2015-12-01
2016 Jan,Breakfast Cereals,Index,84.083,2016-01-01
2016 Feb,Breakfast Cereals,Index,84.975,2016-02-01
2016 Mar,Breakfast Cereals,Index,82.702,2016-03-01
2016 Apr,Breakfast Cereals,Index,81.804,2016-04-01
2016 May,Breakfast Cereals,Index,81.451,2016-05-01
2016 Jun,Breakfast Cereals,Index,81.762,2016-06-01
2016 Jul,Breakfast Cereals,Index,80.02,2016-07-01
2016 Aug,Breakfast Cereals,Index,81.105,2016-08-01
2016 Sep,Breakfast Cereals,Index,82.871,2016-09-01
2016 Oct,Breakfast Cereals,Index,83.527,2016-10-01
2016 Nov,Breakfast Cereals,Index,83.04,2016-11-01
2016 Dec,Breakfast Cereals,Index,82.005,2016-12-01
2017 Jan,Breakfast Cereals,Index,84.111,2017-01-01
2017 Feb,Breakfast Cereals,Index,84.871,2017-02-01
2017 Mar,Breakfast Cereals,Index,82.371,2017-03-01
2017 Apr,Breakfast Cereals,Index,82.422,2017-04-01
2017 May,Breakfast Cereals,Index,81.454,2017-05-01
2017 Jun,Breakfast Cereals,Index,78.395,2017-06-01
2017 Jul,Breakfast Cereals,Index,80.684,2017-07-01
2017 Aug,Breakfast Cereals,Index,79.285,2017-08-01
2017 Sep,Breakfast Cereals,Index,81.539,2017-09-01
2017 Oct,Breakfast Cereals,Index,80.355,2017-10-01
2017 Nov,Breakfast Cereals,Index,81.417,2017-11-01
2017 Dec,Breakfast Cereals,Index,80.072,2017-12-01
2018 Jan,Breakfast Cereals,Index,80.15,2018-01-01
2018 Feb,Breakfast Cereals,Index,81.507,2018-02-01
2018 Mar,Breakfast Cereals,Index,80.235,2018-03-01
2018 Apr,Breakfast Cereals,Index,79.585,2018-04-01
2018 May,Breakfast Cereals,Index,79.357,2018-05-01
2018 Jun,Breakfast Cereals,Index,79.968,2018-06-01
2018 Jul,Breakfast Cereals,Index,80.423,2018-07-01
2018 Aug,Breakfast Cereals,Index,79.982,2018-08-01
2018 Sep,Breakfast Cereals,Index,80.717,2018-09-01
2018 Oct,Breakfast Cereals,Index,81.824,2018-10-01
2018 Nov,Breakfast Cereals,Index,82.806,2018-11-01
2018 Dec,Breakfast Cereals,Index,83.229,2018-12-01
2019 Jan,Breakfast Cereals,Index,79.424,2019-01-01
2019 Feb,Breakfast Cereals,Index,82.98,2019-02-01
2019 Mar,Breakfast Cereals,Index,81.03,2019-03-01
2019 Apr,Breakfast Cereals,Index,81.075,2019-04-01
2019 May,Breakfast Cereals,Index,79.395,2019-05-01
2019 Jun,Breakfast Cereals,Index,79.606,2019-06-01
2019 Jul,Breakfast Cereals,Index,82.354,2019-07-01
2019 Aug,Breakfast Cereals,Index,81.606,2019-08-01
2019 Sep,Breakfast Cereals,Index,82.463,2019-09-01
2019 Oct,Breakfast Cereals,Index,82.617,2019-10-01
2019 Nov,Breakfast Cereals,Index,82.218,2019-11-01
2019 Dec,Breakfast Cereals,Index,80.824,2019-12-01
2020 Jan,Breakfast Cereals,Index,81.867,2020-01-01
2020 Feb,Breakfast Cereals,Index,83.455,2020-02-01
2020 Mar,Breakfast Cereals,Index,82.883,2020-03-01
2020 Apr,Breakfast Cereals,Index,81.51,2020-04-01
2020 May,Breakfast Cereals,Index,82.717,2020-05-01
2020 Jun,Breakfast Cereals,Index,81.685,2020-06-01
2020 Jul,Breakfast Cereals,Index,83.428,2020-07-01
2020 Aug,Breakfast Cereals,Index,83.497,2020-08-01
2020 Sep,Breakfast Cereals,Index,82.054,2020-09-01
2020 Oct,Breakfast Cereals,Index,84.071,2020-10-01
2020 Nov,Breakfast Cereals,Index,83.86,2020-11-01
2020 Dec,Breakfast Cereals,Index,83.534,2020-12-01
2021 Jan,Breakfast Cereals,Index,83.996,2021-01-01
2021 Feb,Breakfast Cereals,Index,83.432,2021-02-01
2021 Mar,Breakfast Cereals,Index,82.728,2021-03-01
2021 Apr,Breakfast Cereals,Index,81.532,2021-04-01
2021 May,Breakfast Cereals,Index,81.151,2021-05-01
2021 Jun,Breakfast Cereals,Index,81.823,2021-06-01
2021 Jul,Breakfast Cereals,Index,85.301,2021-07-01
2021 Aug,Breakfast Cereals,Index,85.235,2021-08-01
2021 Sep,Breakfast Cereals,Index,84.436,2021-09-01
2021 Oct,Breakfast Cereals,Index,84.545,2021-10-01
2021 Nov,Breakfast Cereals,Index,85.901,2021-11-01
2021 Dec,Breakfast Cereals,Index,84.688,2021-12-01
2022 Jan,Breakfast Cereals,Index,83.478,2022-01-01
2022 Feb,Breakfast Cereals,Index,83.523,2022-02-01
2022 Mar,Breakfast Cereals,Index,83.68,2022-03-01
2022 Apr,Breakfast Cereals,Index,82.174,2022-04-01
2022 May,Breakfast Cereals,Index,83.256,2022-05-01
2022 Jun,Breakfast Cereals,Index,83.709,2022-06-01
2022 Jul,Breakfast Cereals,Index,84.093,2022-07-01
2022 Aug,Breakfast Cereals,Index,88.932,2022-08-01
2022 Sep,Breakfast Cereals,Index,87.722,2022-09-01
2022 Oct,Breakfast Cereals,Index,88.188,2022-10-01
2022 Nov,Breakfast Cereals,Index,88.257,2022-11-01
2022 Dec,Breakfast Cereals,Index,89.672,2022-12-01
2023 Jan,Breakfast Cereals,Index,91.252,2023-01-01
2023 Feb,Breakfast Cereals,Index,90.647,2023-02-01
2023 Mar,Breakfast Cereals,Index,89.793,2023-03-01
2023 Apr,Breakfast Cereals,Index,91.915,2023-04-01
2023 May,Breakfast Cereals,Index,98.891,2023-05-01
2023 Jun,Breakfast Cereals,Index,99.189,2023-06-01
2023 Jul,Breakfast Cereals,Index,98.338,2023-07-01
2023 Aug,Breakfast Cereals,Index,97.598,2023-08-01
2023 Sep,Breakfast Cereals,Index,97.535,2023-09-01
2023 Oct,Breakfast Cereals,Index,97.816,2023-10-01
2023 Nov,Breakfast Cereals,Index,97.874,2023-11-01
2023 Dec,Breakfast Cereals,Index,98.85,2023-12-01
2024 Jan,Breakfast Cereals,Index,96.492,2024-01-01
2024 Feb,Breakfast Cereals,Index,98.603,2024-02-01
2024 Mar,Breakfast Cereals,Index,101.092,2024-03-01
2024 Apr,Breakfast Cereals,Index,100.634,2024-04-01
2024 May,Breakfast Cereals,Index,100.382,2024-05-01
2024 Jun,Breakfast Cereals,Index,101.576,2024-06-01
2024 Jul,Breakfast Cereals,Index,101.171,2024-07-01
2024 Aug,Breakfast Cereals,Index,100.69,2024-08-01
2024 Sep,Breakfast Cereals,Index,99.599,2024-09-01
2024 Oct,Breakfast Cereals,Index,99.677,2024-10-01
2024 Nov,Breakfast Cereals,Index,99.733,2024-11-01
2024 Dec,Breakfast Cereals,Index,100.35,2024-12-01
2025 Jan,Breakfast Cereals,Index,98.888,2025-01-01
2025 Feb,Breakfast Cereals,Index,97.14,2025-02-01
2025 Mar,Breakfast Cereals,Index,99.578,2025-03-01
2025 Apr,Breakfast Cereals,Index,99.953,2025-04-01
2025 May,Breakfast Cereals,Index,99.195,2025-05-01
2025 Jun,Breakfast Cereals,Index,98.559,2025-06-01
2025 Jul,Breakfast Cereals,Index,98.632,2025-07-01
2025 Aug,Breakfast Cereals,Index,97.735,2025-08-01
2025 Sep,Breakfast Cereals,Index,98.086,2025-09-01
